"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"A1BG","OK",3.27344477179833e-82,19.170348389082,0.0960369302676768,"A1BG",1.08557028959658e-81
"A1BG-AS1","OK",2.40682791064378e-07,5.03359520428307,0.0247077864096447,"A1BG-AS1",3.43213244285813e-07
"A1CF","OK",0.636640165511605,-0.349492408655661,-0.00185719726452605,"A1CF",0.653711808357279
"A2M","OK",0,156.018113881418,0.784588129616905,"A2M",0
"A2ML1","OK",7.44399125399545e-43,13.6721739832579,0.0678973414796773,"A2ML1",1.83513262057241e-42
"A2MP1","OK",0.100825693517528,1.27686082449632,0.00590672049452145,"A2MP1",0.112378785251255
"A4GALT","OK",6.6704722843386e-139,25.0607187100616,0.117804385513361,"A4GALT",2.89101145078215e-138
"AAAS","OK",2.05664767285596e-49,14.730389292447,0.0737429030509714,"AAAS",5.37448147281554e-49
"AACS","OK",1.65422985623724e-07,5.10497058676326,0.0253121131921286,"AACS",2.37152885623446e-07
"AADAT","OK",1.0995296412491e-35,12.4138196997798,0.061873969275916,"AADAT",2.52697828489189e-35
"AAGAB","OK",7.08482299486631e-28,10.8811928307692,0.0543821352195002,"AAGAB",1.48720088726838e-27
"AAK1","OK",2.00736605731521e-55,15.6379454876716,0.0783636310888664,"AAK1",5.54562971008882e-55
"AAMP","OK",1.80311812317923e-59,16.2206052211086,0.0813009770306525,"AAMP",5.12841439296548e-59
"AANAT","OK",2.40551739576506e-22,9.65220414255483,0.0479967504724923,"AANAT",4.6574363561525e-22
"AARS","OK",1.36009544011122e-94,20.6004296427836,0.103316245340099,"AARS",4.80191544911774e-94
"AARS2","OK",0.000154991042556204,3.60681199630338,0.0178174965011837,"AARS2",0.00019989854621328
"AARSD1","OK",1.0014942131624e-17,8.49361977713045,0.0423937210427777,"AARSD1",1.80430739908425e-17
"AASDH","OK",9.36592244106227e-19,8.76467367229585,0.0437349358934718,"AASDH",1.71914457341694e-18
"AASDHPPT","OK",3.65137897677194e-161,27.0260611436293,0.135595125789722,"AASDHPPT",1.71886105460472e-160
"AASS","OK",0,71.1316751397509,0.357463511531336,"AASS",0
"AATK","OK",6.79479701878038e-273,35.2762419481128,0.175992141603673,"AATK",4.43979453678976e-272
"ABAT","OK",0,58.5297275169749,0.293970783658156,"ABAT",0
"ABCA1","OK",0,53.0101644069526,0.266371775803763,"ABCA1",0
"ABCA10","OK",1.14557069408994e-18,8.74195332964728,0.0424926512633409,"ABCA10",2.09847312542091e-18
"ABCA11P","OK",0.115112205591972,1.19978098436931,0.00572840138934603,"ABCA11P",0.127751638744144
"ABCA12","OK",1.81897631159581e-08,5.50758234135696,0.0269413755719216,"ABCA12",2.68452744328057e-08
"ABCA13","OK",0,65.9159160875584,0.329735541807948,"ABCA13",0
"ABCA17P","OK",2.49882930467544e-16,8.11155364951481,0.0401221412123547,"ABCA17P",4.39732384826869e-16
"ABCA2","OK",0,55.7303483519311,0.279900178989939,"ABCA2",0
"ABCA3","OK",6.54283186209357e-231,32.4228325715325,0.162619734049212,"ABCA3",3.81169700216349e-230
"ABCA4","OK",0.00386766086468745,2.6634094941242,0.0125010733692207,"ABCA4",0.00469558021620234
"ABCA5","OK",1.06415555871007e-34,12.2308003847394,0.06108085473539,"ABCA5",2.4170239869544e-34
"ABCA6","OK",7.82582755204194e-26,10.443742085845,0.0512477032911083,"ABCA6",1.59644136845275e-25
"ABCA7","OK",9.02160712992948e-16,7.95410425578192,0.0395901714233558,"ABCA7",1.57279260060644e-15
"ABCA8","OK",0,68.7068714060688,0.344337524510065,"ABCA8",0
"ABCA9","OK",0,66.7654698618183,0.326678973194181,"ABCA9",0
"ABCB1","OK",0,89.2804847598823,0.427344289878938,"ABCB1",0
"ABCB10","OK",6.38173561614838e-06,4.36412135612146,0.0215916738799666,"ABCB10",8.67683709400001e-06
"ABCB11","OK",0.0217968776380703,2.01797605410081,0.00843597326365038,"ABCB11",0.0253477045122624
"ABCB4","OK",5.5201422424768e-48,14.5063749578351,0.0724286518771743,"ABCB4",1.424025287298e-47
"ABCB5","OK",0.00083047817940533,3.14498448925601,0.0147515057248513,"ABCB5",0.00103868777903502
"ABCB6","OK",9.95592467170352e-81,18.9918678283687,0.0951120608592028,"ABCB6",3.27235206760897e-80
"ABCB7","OK",3.80897803956749e-12,6.84555571888803,0.0341049198136596,"ABCB7",6.14379290919043e-12
"ABCB8","OK",2.40076212212316e-62,16.6223473632455,0.0832382213167458,"ABCB8",6.97566196190781e-62
"ABCB9","OK",2.82806658129056e-69,17.5528574932465,0.0875847934269661,"ABCB9",8.67874258257712e-69
"ABCC1","OK",1.2359439699301e-09,5.96330341994346,0.0296556972053193,"ABCC1",1.87959985639038e-09
"ABCC10","OK",0.00559149042954219,2.53692844648194,0.0124494353987462,"ABCC10",0.0067356838547189
"ABCC11","OK",0.644440480568968,-0.370353603496702,-0.00201507392180705,"ABCC11",0.660836598344008
"ABCC12","OK",0.232584989194806,0.730360300107593,0.00300713597697751,"ABCC12",0.252008343030279
"ABCC13","OK",0.000264793496052967,3.46532706869086,0.0162226820566745,"ABCC13",0.000338167254606311
